ID,ROUND,MONTH,WEEKDAY,LANG,D1,D6_1,D6_2A,D6_2B,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,QA1,QA2A,QA3A,QA2B,QA3B,QA2C,QA22,QA4,QA6A_1,QA7A_1,QA7AI_1,QA7AII_1,QA8A_1,QA8AI_1,QA6A_2,QA7A_2,QA7AI_2,QA7AII_2,QA8A_2,QA8AI_2,QA6A_3,QA7A_3,QA7AI_3,QA7AII_3,QA8A_3,QA8AI_3,QA6A_4,QA7A_4,QA7AI_4,QA7AII_4,QA8A_4,QA8AI_4,QA6A_5,QA7A_5,QA7AI_5,QA7AII_5,QA8A_5,QA8AI_5,QA6A_6,QA7A_6,QA7AI_6,QA7AII_6,QA8A_6,QA8AI_6,QA6A_7,QA7A_7,QA7AI_7,QA7AII_7,QA8A_7,QA8AI_7,QA6A_8,QA7A_8,QA7AI_8,QA7AII_8,QA8A_8,QA8AI_8,QB1_1,QB4_1,QB1_2,QB4_2,QB1_3,QB4_3,QB1_4,QB4_4,QB1_5,QB4_5,QB1_6,QB4_6,QB1_7,QB4_7,QB1_8,QB4_8,QC1_1,QC1_2,QC1_3,QC1_4,QC1_5,QC1_6,QC1_8,QC1_10,QC3_1,QC5_1,QC3_2,QC5_2,QC3_3,QC5_3,QC6_3,QC3_4,QC5_4,QC6_4,QC3_5,QC5_5,QC3_6,QC5_6,QC3_8,QC5_8,QC6_8,QC3_10,QC5_10,QC6_10,QQ1A_1,QQ1A_2,QQ1A_3,QQ1A_4,QQ1A_5,QQ1B,QQ1D,QQ11D,QQ2,QQ11A,QQ3,QQ3A,QQ13A_1,QQ13A_2,QQ13A_3,QQ13A_4,QQ13A_5,QQ13A_6,QQ13A_7,QQ13A_8,QQ13A_9,QQ13A_10,QQ13A_11,QQ13B_1,QQ13B_2,QQ13B_3,QQ13B_4,QQ13B_5,QQ13B_6,QQ13B_7,QQ13B_8,QQ13B_9,QQ13B_10,QQ19A,Q19C_1,Q19C_2,Q19C_3,Q19C_4,Q19C_5,Q19C_6,Q19C_7,Q19C_8,Q19C_9,QQ19B,QQ4C,QQ8,QQ9,QQ10,D10_1,D10_2,D10_3,D10_4,D10_5,D10_6,D10_7,D10_8,D8,D13a,D13b,QA5A_1,QA5A_2,QA5A_3,QA5A_4,QA5A_5,QA5A_6,QA5A_7,QA5A_8,QB3_1,QB3_2,QB3_3,QB3_4,QB3_5,QB3_6,QB3_7,QB3_8,QC2_1,QC2_2,QC2_3,QC2_4,QC2_5,QC2_6,QC2_8,QC2_10,COUNTRY,EDUCATION,AGE,INCOME,HHSIZE,DEPCHILDREN,URBAN,Gross_weight,D3_AT,D3_BE,D3_EE,D3_ES,D3_GR,D3_FI,D3_FR,D3_IE,D3_IT,D3_LT,D3_LU,D3_LV,D3_PT,D3_SI,D3_SK,D3_CY,D3_MT
10001_1_7_2,2,4,2,13,2,3,,4,0,0,0,0,0,0,0,60,,,,,,,999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,,,2,3,2,3,1,2,4,1,6,4,3,1,,,,,,,1,1,0,0,0,,4,,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,2,1,1,2,0,0,1,1,1,0,0,0,4,1,,,,,,,,,,,,,,,,,,,110,300,30,120,60,,,AT,2,10,,2,0,0,2637.167389,5,,,,,,,,,,,,,,,,
10002_1_7_2,2,5,7,13,1,2,6,,0,0,0,0,0,0,0,50,,,,,,,999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,2,4,3,3,2,4,1,2,4,1,,,,,,,,2,4,1,1,1,0,0,0,,2,,1,5,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,1,0,1,1,1,0,0,0,2,3,1,0,,1,1,1,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,300,100,250,75,,,,300,AT,2,8,4,4,2,999998,5870.972968,7,,,,,,,,,,,,,,,,
10005_2_7_1,1,11,3,13,1,1,,,0,0,1,0,0,0,1,24,,,,,,,999996,1,1,,,1,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,3,11,999997,,,,,,,,,,,,1,1,1,1,0,0,0,0,2,4,2,4,3,1,1,2,4,1,,,,,,,,,,,1,1,0,0,0,,2,,1,5,3,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,,,,,,,,,,3,1,1,0,,1,0,1,1,1,0,0,0,1,,,5.68,1.54,,,,,,,5.54,1.54,,,,,,,988.57,42,361.06,21.04,,,,,AT,3,10,5,2,0,1,2340.208239,2,,,,,,,,,,,,,,,,
10008_1_7_2,2,4,1,13,1,3,,2,1,0,1,0,1,0,0,50,90,1,999997,,,,50,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,3,4,2,4,3,4,2,2,4,2,,,,,,,,,,,1,1,0,0,0,,2,,3,4,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,,,,,,,,,,3,1,1,1,2,1,0,1,0,0,0,0,0,1,0,,40,,,,,,,,,,,,,,,,400,100,60,36,,,,,AT,3,4,2,1,,1,3428.059973,2,,,,,,,,,,,,,,,,
10011_2_7_2,2,4,7,13,1,2,4,,0,0,0,0,0,0,1,21,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,13,11,999997,,,,,,,,,,,,1,1,1,1,0,0,0,1,2,4,2,4,2,3,1,2,4,1,,,,,,,,2,4,1,1,1,0,0,0,,3,,1,3,1,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,,,,,,,,,,3,1,2,1,3,1,1,1,1,0,1,0,0,1,,,,,,,,,,,10.3,4.5,,,,,,,320.6,32,40,20,,,,100,AT,2,3,3,4,2,1,3796.908139,1,,,,,,,,,,,,,,,,
10014_2_7_1,1,11,3,13,1,2,4,,1,1,0,0,0,0,1,45,250,1,999997,,,30,999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,999997,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,,,,,,,,3,4,1,3,3,3,4,,,,,,,1,1,0,0,0,,4,,2,5,1,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,3,1,1,999998,,0,0,1,0,0,0,0,0,1,,,,,,,,,,,25,,,,,,,,,,,28,100,18,,,AT,2,3,3,2,0,0,5183.127409,1,,,,,,,,,,,,,,,,
10021_1_7_2,2,5,1,13,1,1,,,0,0,1,0,0,0,0,270,,,,,,,999996,1,1,,,1,,1,1,,,1,,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,2,4,2,3,,,,2,4,2,,,,,,,,,,,1,1,0,0,0,,1,3,1,5,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,3,1,1,0,,1,0,1,1,1,0,0,0,1,1,,25,42,32,,,,,,,,,,,,,,300,700,,150,,,,,AT,1,9,5,2,0,1,1035.562467,2,,,,,,,,,,,,,,,,
10024_2_7_2,2,4,7,13,2,2,5,,0,1,1,0,0,0,0,300,,,,,,500,300,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,3,4,3,4,2,4,1,3,4,1,,,,,,,,3,6,2,1,1,0,0,0,,1,999999,2,5,1,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,,,,,,,,,,3,1,1,1,5,1,1,0,1,0,0,0,0,1,,,60,,,,,,,,,,,,,,,,904,140,185,52,,,,240,AT,2,3,2,5,3,1,2168.838041,5,,,,,,,,,,,,,,,,
10033_2_7_2,2,4,7,13,2,2,7,,0,0,1,1,0,0,1,50,,,,,,,999996,6,1,,,0,,6,1,,,0,,6,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,999997,,,,,,,,,,,,,,1,1,0,1,0,1,0,0,3,4,2,4,,,,2,4,1,,,2,4,,,,,,,1,1,0,0,0,,1,3,2,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,4,1,0,,1,0,1,1,0,0,0,0,1,,,3.6,3.6,3.6,,,,,,25,,,,,,,,425,80,,45,,8,,,AT,2,4,3,2,0,0,845.8894406,4,,,,,,,,,,,,,,,,
10035_1_7_2,2,4,6,13,2,2,4,,0,0,0,1,0,0,0,12,,,,,,,5,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,0,2,4,2,4,2,4,1,5,3,1,,,2,4,,,,,,,0,1,0,0,0,,1,3,1,5,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,6,3,1,1,3,1,0,1,1,1,0,0,0,1,0,,3.1,,,,,,,,,,,,,,,,530,38,91,60,,18,,,AT,2,4,3,4,2,0,5765.275981,1,,,,,,,,,,,,,,,,
